epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1424.29,1.2315,0.68625,0.01209,0.7579,0.65017,0.74986,0.49409,1.01083,0.57753,0.0167,0.000990365,0.000990365,0.000990365
43,1459.2,1.20757,0.62183,0.01148,0.66464,0.82184,0.68782,0.48741,1.03041,0.52504,0.01742,0.000973861,0.000973861,0.000973861
44,1495.33,1.26412,0.69483,0.01297,0.88667,0.73771,0.7566,0.50474,1.12199,0.49418,0.0192,0.000957358,0.000957358,0.000957358
45,1528.17,1.24357,0.67911,0.01213,0.72704,0.74253,0.6959,0.39865,1.32241,0.81149,0.02218,0.000940855,0.000940855,0.000940855
46,1566.2,1.22011,0.69249,0.01213,0.73833,0.7666,0.7585,0.48645,1.18393,0.52829,0.02038,0.000924352,0.000924352,0.000924352
47,1598.65,1.1876,0.62947,0.01148,0.7353,0.74368,0.73441,0.46427,1.14364,0.49707,0.01917,0.000907848,0.000907848,0.000907848
48,1630.41,1.17351,0.64185,0.01085,0.81249,0.78302,0.8012,0.51442,1.11788,0.46247,0.01859,0.000891345,0.000891345,0.000891345
49,1663.99,1.20542,0.64391,0.01121,0.44999,0.57586,0.60953,0.4066,1.18433,1.09762,0.0211,0.000874842,0.000874842,0.000874842
50,1698.67,1.17013,0.65864,0.01146,0.70165,0.75517,0.73762,0.50193,1.05381,0.52448,0.01835,0.000858338,0.000858338,0.000858338
51,1730.95,1.15026,0.58721,0.01146,0.67836,0.74146,0.74101,0.50684,1.03918,0.50908,0.01706,0.000841835,0.000841835,0.000841835
52,1763.75,1.18531,0.61755,0.01138,0.72331,0.71926,0.66982,0.45226,1.07993,0.64544,0.01801,0.000825332,0.000825332,0.000825332
53,1796.82,1.20776,0.60215,0.01162,0.62329,0.80974,0.68653,0.43485,1.16913,0.59631,0.0204,0.000808828,0.000808828,0.000808828
54,1829.22,1.13338,0.56099,0.01124,0.75838,0.80381,0.7576,0.52627,1.07013,0.53237,0.01793,0.000792325,0.000792325,0.000792325
55,1862.2,1.1435,0.58958,0.01127,0.77839,0.72895,0.74718,0.51774,1.07839,0.43758,0.01831,0.000775822,0.000775822,0.000775822
56,1897.33,1.12512,0.60621,0.01076,0.65767,0.69312,0.67938,0.46233,1.05323,0.57558,0.01741,0.000759318,0.000759318,0.000759318
57,1929.13,1.13672,0.5916,0.01087,0.73896,0.81609,0.74226,0.53145,1.03538,0.48789,0.01713,0.000742815,0.000742815,0.000742815
58,1962.81,1.10203,0.59502,0.01012,0.67195,0.74943,0.7146,0.50363,1.04342,0.49651,0.01753,0.000726312,0.000726312,0.000726312
59,1998.73,1.06494,0.53837,0.01039,0.7527,0.82759,0.78397,0.53034,1.02973,0.43005,0.01697,0.000709809,0.000709809,0.000709809
60,2030.5,1.06597,0.54716,0.00995,0.75228,0.68276,0.73412,0.49461,1.04671,0.48004,0.01754,0.000693305,0.000693305,0.000693305
61,2062.58,1.06206,0.52839,0.01075,0.69277,0.78851,0.71789,0.51915,0.97732,0.53325,0.01592,0.000676802,0.000676802,0.000676802
62,2094.18,1.09035,0.54998,0.01054,0.70707,0.7833,0.72616,0.50325,1.06175,0.46568,0.01742,0.000660299,0.000660299,0.000660299
63,2126.48,1.0913,0.52414,0.01031,0.76707,0.81969,0.74808,0.53001,1.05957,0.48022,0.01745,0.000643795,0.000643795,0.000643795
64,2157.6,1.0533,0.53171,0.01015,0.92307,0.7384,0.77871,0.52254,1.07661,0.42978,0.01823,0.000627292,0.000627292,0.000627292
65,2189.01,1.05893,0.4614,0.01,0.72082,0.85019,0.7446,0.5095,1.0048,0.47136,0.01632,0.000610789,0.000610789,0.000610789
66,2220.44,1.04234,0.49806,0.01001,0.66069,0.76527,0.69764,0.4808,1.07162,0.43823,0.01772,0.000594286,0.000594286,0.000594286
67,2251.87,1.02121,0.48408,0.00968,0.78896,0.81609,0.77764,0.5443,1.0307,0.41258,0.01695,0.000577782,0.000577782,0.000577782
68,2285.25,1.0758,0.50895,0.01018,0.8017,0.85909,0.82219,0.56145,0.99164,0.39706,0.01669,0.000561279,0.000561279,0.000561279
