epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1085.17,1.03564,0.44532,0.00977,0.93395,0.93333,0.98036,0.73253,0.90709,0.36635,0.01516,0.0011684,0.0011684,0.0011684
44,1110.13,1.05963,0.4393,0.01039,0.93118,0.90219,0.9723,0.72717,1.05281,0.35736,0.01695,0.0011486,0.0011486,0.0011486
45,1134.33,1.04886,0.46262,0.01,0.95007,0.95556,0.9778,0.73669,1.06145,0.34627,0.01709,0.0011288,0.0011288,0.0011288
46,1158.03,1.09945,0.45086,0.01026,0.97764,0.97176,0.99331,0.76223,0.99897,0.29179,0.01672,0.001109,0.001109,0.001109
47,1181.64,1.02768,0.42825,0.00973,0.93261,0.92275,0.97571,0.71684,1.07445,0.37769,0.0171,0.0010892,0.0010892,0.0010892
48,1205.16,1.02454,0.43709,0.00974,0.97259,0.95556,0.96331,0.73687,0.9999,0.34513,0.01668,0.0010694,0.0010694,0.0010694
49,1227.69,0.99379,0.40235,0.00925,0.95532,0.95028,0.98968,0.74011,1.04826,0.33406,0.01678,0.0010496,0.0010496,0.0010496
50,1250.67,1.04844,0.43394,0.00996,1,0.99744,0.995,0.75539,0.95372,0.2542,0.01514,0.0010298,0.0010298,0.0010298
51,1273.23,0.99169,0.40043,0.00962,0.93586,0.97273,0.98719,0.76716,0.9828,0.33072,0.01535,0.00101,0.00101,0.00101
52,1297.36,1.01302,0.41177,0.00926,0.94618,0.97778,0.98724,0.77689,0.88258,0.34032,0.01524,0.0009902,0.0009902,0.0009902
53,1319.78,0.92805,0.36552,0.00912,0.97749,0.965,0.98131,0.76411,0.9343,0.34003,0.01464,0.0009704,0.0009704,0.0009704
54,1342.8,0.98735,0.3977,0.00914,0.99917,0.95556,0.98134,0.74435,1.02133,0.34647,0.0163,0.0009506,0.0009506,0.0009506
55,1365.44,0.926,0.37455,0.00858,0.97718,0.9517,0.97927,0.76321,0.93392,0.37371,0.01586,0.0009308,0.0009308,0.0009308
56,1389.98,0.9683,0.41525,0.00942,0.99745,0.95556,0.97963,0.70148,1.05873,0.35447,0.01691,0.000911,0.000911,0.000911
57,1412.82,1.0221,0.42298,0.01007,0.97232,0.93333,0.97868,0.76063,0.96888,0.33929,0.01583,0.0008912,0.0008912,0.0008912
58,1435.91,0.99679,0.40018,0.00958,0.97708,0.94729,0.98034,0.77338,0.90415,0.31912,0.01439,0.0008714,0.0008714,0.0008714
59,1458.47,0.95911,0.39042,0.00903,1,0.92966,0.97978,0.7825,0.9251,0.33188,0.01472,0.0008516,0.0008516,0.0008516
60,1482.05,0.9654,0.38044,0.00926,1,0.96969,0.97968,0.73034,1.01125,0.37008,0.01579,0.0008318,0.0008318,0.0008318
61,1504.47,0.94539,0.38842,0.00865,0.99725,0.91111,0.98446,0.77014,0.94731,0.33648,0.01508,0.000812,0.000812,0.000812
62,1527.73,0.96812,0.37299,0.00921,0.93249,0.93333,0.98017,0.78268,0.95496,0.36331,0.01543,0.0007922,0.0007922,0.0007922
63,1557.25,0.902,0.35955,0.00805,0.91199,0.97778,0.97783,0.80118,0.83059,0.34727,0.0129,0.0007724,0.0007724,0.0007724
64,1588.2,0.94866,0.39202,0.00858,0.95415,0.97778,0.97868,0.76824,0.92211,0.349,0.01465,0.0007526,0.0007526,0.0007526
65,1615.65,0.95178,0.37675,0.00892,0.97768,0.97361,0.98198,0.78169,0.93254,0.32748,0.01401,0.0007328,0.0007328,0.0007328
66,1640.05,0.88042,0.35539,0.00828,0.97714,0.94983,0.9808,0.76919,0.96405,0.39549,0.01442,0.000713,0.000713,0.000713
67,1664.64,0.91605,0.33718,0.0088,1,0.95364,0.97796,0.77992,0.91641,0.33246,0.01469,0.0006932,0.0006932,0.0006932
68,1687.49,0.87882,0.35701,0.00819,0.97109,1,0.9937,0.79619,0.897,0.25437,0.01423,0.0006734,0.0006734,0.0006734
69,1711.81,0.86211,0.33486,0.00816,1,0.95447,0.98473,0.80232,0.81804,0.28598,0.01337,0.0006536,0.0006536,0.0006536
70,1739.61,0.8909,0.34622,0.00818,1,0.95475,0.98076,0.76125,0.92324,0.31934,0.01461,0.0006338,0.0006338,0.0006338
71,1763.31,0.90862,0.37639,0.00827,0.95633,0.97346,0.97734,0.755,0.95519,0.35343,0.01451,0.000614,0.000614,0.000614
72,1786.65,0.88283,0.34562,0.00829,0.99775,0.95556,0.98259,0.76269,0.94427,0.27039,0.01518,0.0005942,0.0005942,0.0005942
73,1808.9,0.84627,0.31537,0.00776,1,0.95385,0.98227,0.76535,0.90597,0.30097,0.01446,0.0005744,0.0005744,0.0005744
74,1832.21,0.83859,0.34086,0.00798,0.95432,0.95556,0.9771,0.78708,0.84567,0.39297,0.01334,0.0005546,0.0005546,0.0005546
75,1856.26,0.83811,0.31888,0.00765,1,0.95487,0.98262,0.80392,0.82238,0.28104,0.01317,0.0005348,0.0005348,0.0005348
76,1885.38,0.83001,0.28569,0.00785,1,0.95199,0.98238,0.77468,0.90427,0.3288,0.01474,0.000515,0.000515,0.000515
77,1915.71,0.86984,0.34869,0.00825,0.9777,0.97442,0.98203,0.80179,0.84016,0.33089,0.01327,0.0004952,0.0004952,0.0004952
78,1946.29,0.80048,0.31268,0.00738,0.93604,0.97571,0.97541,0.79011,0.84684,0.31199,0.0127,0.0004754,0.0004754,0.0004754
79,1971.12,0.84625,0.32176,0.00787,0.9985,0.95556,0.98227,0.76995,0.92316,0.29826,0.01393,0.0004556,0.0004556,0.0004556
80,1995.51,0.79392,0.31091,0.00712,0.99587,0.95556,0.98032,0.78905,0.89413,0.29268,0.01405,0.0004358,0.0004358,0.0004358
81,2019.16,0.79681,0.31203,0.00695,0.97426,0.93333,0.97724,0.79071,0.86825,0.34641,0.01331,0.000416,0.000416,0.000416
82,2042.23,0.81536,0.30819,0.00727,0.99788,0.95556,0.98158,0.78851,0.86214,0.31706,0.01333,0.0003962,0.0003962,0.0003962
83,2065.41,0.81234,0.29757,0.00735,0.97617,0.91027,0.97543,0.78134,0.87451,0.37437,0.01314,0.0003764,0.0003764,0.0003764
84,2090.24,0.76949,0.31519,0.00709,0.99805,0.95556,0.98478,0.78748,0.85191,0.29764,0.01326,0.0003566,0.0003566,0.0003566
85,2112.95,0.79706,0.29721,0.00745,0.99808,0.95556,0.98076,0.78686,0.85486,0.29516,0.01326,0.0003368,0.0003368,0.0003368
86,2136.07,0.75187,0.31556,0.00714,0.97672,0.93225,0.97563,0.79771,0.81573,0.31791,0.01243,0.000317,0.000317,0.000317
87,2159.23,0.76513,0.31258,0.0069,1,0.93153,0.9795,0.7868,0.88533,0.30603,0.01321,0.0002972,0.0002972,0.0002972
88,2182.82,0.75814,0.29634,0.00724,0.97191,0.95556,0.97913,0.79789,0.83622,0.2987,0.01289,0.0002774,0.0002774,0.0002774
89,2205.59,0.75854,0.28823,0.00659,1,0.94648,0.98057,0.78593,0.89526,0.33014,0.01355,0.0002576,0.0002576,0.0002576
90,2230.52,0.73855,0.28261,0.00675,0.97719,0.95196,0.98113,0.80229,0.8205,0.30542,0.01254,0.0002378,0.0002378,0.0002378
91,2261.51,0.66678,0.23101,0.00774,0.97719,0.952,0.97995,0.79913,0.82248,0.30483,0.01282,0.000218,0.000218,0.000218
92,2288.2,0.63205,0.20266,0.00724,0.95579,0.96101,0.98114,0.80436,0.81047,0.28935,0.01264,0.0001982,0.0001982,0.0001982
93,2312.17,0.61493,0.21643,0.00695,0.97742,0.96191,0.98148,0.81314,0.81285,0.29168,0.01237,0.0001784,0.0001784,0.0001784
94,2338.65,0.58009,0.18869,0.00655,0.97771,0.97466,0.9858,0.80842,0.83624,0.29655,0.01292,0.0001586,0.0001586,0.0001586
95,2362.38,0.60055,0.1876,0.00689,0.95181,0.95556,0.97987,0.80208,0.83572,0.30789,0.01269,0.0001388,0.0001388,0.0001388
96,2386.15,0.58554,0.19672,0.00664,0.97489,0.97778,0.98342,0.82249,0.8297,0.26063,0.01257,0.000119,0.000119,0.000119
97,2413.2,0.58694,0.19245,0.00655,0.99005,0.97778,0.984,0.82475,0.83859,0.26277,0.01288,9.92e-05,9.92e-05,9.92e-05
98,2441.45,0.5669,0.18505,0.00643,1,0.97692,0.98414,0.81757,0.85822,0.27482,0.01302,7.94e-05,7.94e-05,7.94e-05
99,2471,0.59493,0.19625,0.00676,0.99479,0.97778,0.98387,0.81711,0.85616,0.27557,0.01293,5.96e-05,5.96e-05,5.96e-05
100,2496.11,0.5728,0.19375,0.00634,0.99724,0.97778,0.98414,0.82223,0.83857,0.26282,0.01272,3.98e-05,3.98e-05,3.98e-05
